sscode,subdistrictCode,subdistrictNameEnglish,census2001Code,census2011Code,subdistrictNameLocal
,2702,Rania,15  ,02702,
,2701,Torpa,14  ,02701,
,2530,Chandwara,0   ,02530,चंदवारा
,2528,Domchanch,0   ,02528,डोमचांच
,2529,Jainagar,3   ,02529,जयनगर
,2527,Koderma,2   ,02527,कोडरमा
,2531,Markacho,4   ,02531,मरकच्चो
,2526,Satgawan,1   ,02526,सतगावां
,2640,Balumath,18  ,02640,बालूमाथ
,2641,Bariyatu,0   ,02641,बारियातु
,2636,Barwadih,14  ,02636,बरवाडीह
,2643,Chandwa,19  ,02643,चंदवा
,2638,Garu,16  ,02638,गारू
,2642,Herhanj,0   ,02642,हेरहंज
,2639,Latehar,17  ,02639,लातेहार
,2637,Mahuadanr,15  ,02637,महुआडांड़
,2635,Manika,9   ,02635,मनिका
,2603,Bhandra,5   ,02603,
,2600,Kairo,0   ,02600,
,2597,Kisko,1   ,02597,
,2599,Kuru,2   ,02599,
,2601,Lohardaga,3   ,02601,
,2598,Peshrar,0   ,02598,
,2602,Senha,4   ,02602,
,2574,Amrapara,2   ,02574,
,2575,Hiranpur,3   ,02575,
,2573,Litipara,1   ,02573,
,2577,Maheshpur,5   ,02577,
,2576,Pakaur,4   ,02576,
,2578,Pakuria,6   ,02578,
,2624,Bishrampur,5   ,02624,
,2634,Chainpur,13  ,02634,
,2620,Chhatarpur,3   ,02620,
,2616,Haidernagar,0   ,02616,
,2618,Hariharganj,2   ,02618,
,2615,Hussainabad,1   ,02615,
,2628,Manatu,7   ,02628,
,2633,Medininagar(Daltonganj),0   ,02633,
,2617,Mohammad Ganj,0   ,02617,
,2625,Nawa Bazar,0   ,02625,
,2621,Nawadiha Bazar/Nawadiha*,0   ,02621,
,2632,Nilambar-Pitambarpur(Lesliganj),0   ,02632,
,2627,Padwa,0   ,02627,
,2622,Pandu,4   ,02622,
,2630,Panki,8   ,02630,
,2626,Patan,6   ,02626,
,2619,Pipra,0   ,02619,
,6325,Ramgarh,,00000,
,2631,Satbarwa,10  ,02631,
,2629,Tarhasi,0   ,02629,
,2623,Untari Road,0   ,02623,
,2664,Chitarpur,0   ,02664,
,2663,Dulmi,0   ,02663,
,2665,Gola,15  ,02665,
,2661,Mandu,13  ,02661,
,2660,Patratu,11  ,02660,
,2662,Ramgarh,14  ,02662,
,2686,Angara,4   ,02686,
,2695,Bero,11  ,02695,
,2698,Bundu,18  ,02698,बुंडू
,2682,Burmu,1   ,02682,
,2694,Chanho,10  ,02694,
,2696,Itki,0   ,02696,
,2684,Kanke,2   ,02684,
,2683,Khelari,0   ,02683,
,2697,Lapung,12  ,02697,
,2693,Mandar,9   ,02693,
,2692,Nagri,0   ,02692,
,2690,Namkum,7   ,02690,
,2685,Ormanjhi,3   ,02685,
,2687,Rahe,0   ,02687,
,2691,Ratu,8   ,02691,
,2688,Silli,5   ,02688,
,2689,Sonahatu,6   ,02689,
,2699,Tamar I,20  ,02699,
,2567,Barhait,4   ,02567,
,2572,Barharwa,9   ,02572,
,2566,Borio,3   ,02566,
,2565,Mandro,2   ,02565,
,2571,Pathna,8   ,02571,
,2569,Rajmahal,6   ,02569,
,2564,Sahibganj,1   ,02564,
,2568,Taljhari,5   ,02568,
,2570,Udhwa,7   ,02570,
,2752,Adityapur(Gamharia),0009,02752,
,2748,Chandil,6   ,02748,
,2754,Gobindpur(Rajnagar),0   ,02754,
,2749,Ichagarh,7   ,02749,
,2747,Kharsawan,5   ,02747,
,2746,Kuchai,4   ,02746,
,2750,Kukru,0   ,02750,
,2751,Nimdih,8   ,02751,
,2753,Saraikela,10  ,02753,
,2727,Bano,18  ,02727,
,2726,Bansjor,0   ,02726,
,2722,Bolba,14  ,02722,
,2725,Jaldega,17  ,02725,
,2721,Kersai,0   ,02721,
,2724,Kolebira,16  ,02724,
,2720,Kurdeg,13  ,02720,
,2719,Pakar Tanr,0   ,02719,
,2718,Simdega,12  ,02718,
,2723,Thethaitangar,15  ,02723,
,2734,Anandpur,0   ,02734,आनंदपुर
,2730,Bandgaon,2   ,02730,बन्दगाँव
,2739,Chaibasa,17  ,02739,चाईबासा
,2731,Chakradharpur,3   ,02731,चक्रधरपुर
,2733,Goilkera,13  ,02733,गोईलकेरा
,2729,Gudri,0   ,02729,गुदड़ी
,2738,Hat Gamharia,0   ,02738,हाटगम्हरिया
,2743,Jagannathpur,21  ,02743,जगन्नाथपुर
,2742,Jhinkpani,20  ,02742,झींकपानी
,2732,Khuntpani,12  ,02732,खुंटपानी
,2744,Kumardungi,22  ,02744,कुमारडूगी
,2745,Majhgaon,23  ,02745,मझगाँव
,2741,Manjhari,19  ,02741,मंझारी
,2735,Manoharpur,14  ,02735,मनोहरपुर
,2736,Noamundi,15  ,02736,नोवामुंडी
,2728,Sonua,1   ,02728,सोनुवा
,2740,Tantnagar,18  ,02740,तांतनगर
,2737,Tonto,16  ,02737,टोन्टो
