place_id,place_type,name,parent_place_id,state_code,state_name,division_name,district_code,district_name,subdivision_name,source_id,quality_class,record_status
JH-SUBDIV-369-LOHARDAGA,subdivision,Lohardaga,JH-DIST-369,20,Jharkhand,South Chotanagpur,369,Lohardaga,Lohardaga,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-358-MEDININAGAR,subdivision,Medininagar,JH-DIST-358,20,Jharkhand,Palamu,358,Palamu,Medininagar,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-358-CHHATARPUR,subdivision,Chhatarpur,JH-DIST-358,20,Jharkhand,Palamu,358,Palamu,Chhatarpur,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-358-HUSAINABAD,subdivision,Husainabad,JH-DIST-358,20,Jharkhand,Palamu,358,Palamu,Husainabad,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-361-RAMGARH,subdivision,Ramgarh,JH-DIST-361,20,Jharkhand,North Chotanagpur,361,Ramgarh,Ramgarh,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-365-SIMDEGA,subdivision,Simdega,JH-DIST-365,20,Jharkhand,South Chotanagpur,365,Simdega,Simdega,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-366-CHAIBASA,subdivision,Chaibasa,JH-DIST-366,20,Jharkhand,Kolhan,366,Pashchimi Singhbhum,Chaibasa,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-366-PODAHAAT,subdivision,Podahaat,JH-DIST-366,20,Jharkhand,Kolhan,366,Pashchimi Singhbhum,Podahaat,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-366-JAGANNATHPUR,subdivision,Jagannathpur,JH-DIST-366,20,Jharkhand,Kolhan,366,Pashchimi Singhbhum,Jagannathpur,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-352-SAHIBGANJ,subdivision,Sahibganj,JH-DIST-352,20,Jharkhand,Santhal Pargana,352,Sahibganj,Sahibganj,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-352-RAJMAHAL,subdivision,Rajmahal,JH-DIST-352,20,Jharkhand,Santhal Pargana,352,Sahibganj,Rajmahal,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-364-GUMLA,subdivision,Gumla,JH-DIST-364,20,Jharkhand,South Chotanagpur,364,Gumla,Gumla,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-364-CHAINPUR,subdivision,Chainpur,JH-DIST-364,20,Jharkhand,South Chotanagpur,364,Gumla,Chainpur,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-364-BASIA,subdivision,Basia,JH-DIST-364,20,Jharkhand,South Chotanagpur,364,Gumla,Basia,JH_STATE_PROFILE,A,verified_current
JH-SUBDIV-363-KHUNTI,subdivision,Khunti,JH-DIST-363,20,Jharkhand,South Chotanagpur,363,Khunti,Khunti,JH_STATE_PROFILE,A,verified_current
