place_id,place_type,name,parent_place_id,state_code,state_name,district_code,district_name,subdistrict_code,subdistrict_name,block_code,block_name,panchayat_code,panchayat_name,village_code,village_name,latitude,longitude,valid_from,valid_to,source_id,quality_class,record_status
JH-VILL-347160,village,Adhaura,JH-SUBD-02496,20,Jharkhand,346,,02496,,,,,,347160,Adhaura,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347161,village,Pandaria,JH-SUBD-02496,20,Jharkhand,346,,02496,,,,,,347161,Pandaria,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347162,village,Singhitali,JH-SUBD-02496,20,Jharkhand,346,,02496,,,,,,347162,Singhitali,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347163,village,Chapri,JH-SUBD-02496,20,Jharkhand,346,,02496,,,,,,347163,Chapri,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347164,village,Saraia,JH-SUBD-02496,20,Jharkhand,346,,02496,,,,,,347164,Saraia,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347165,village,Gorgonwan,JH-SUBD-02496,20,Jharkhand,346,,02496,,,,,,347165,Gorgonwan,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347166,village,Bhawanathpur,JH-SUBD-02496,20,Jharkhand,346,,02496,,,,,,347166,Bhawanathpur,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347167,village,Buka,JH-SUBD-02496,20,Jharkhand,346,,02496,,,,,,347167,Buka,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347168,village,Arsali,JH-SUBD-02496,20,Jharkhand,346,,02496,,,,,,347168,Arsali,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347169,village,Ghaghra,JH-SUBD-02496,20,Jharkhand,346,,02496,,,,,,347169,Ghaghra,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
