source_id,title,publisher,department,url,reference_year,geographic_resolution,license_or_policy,retrieval_method,citation_key,redistribution_status
CENSUS_BASIC_2011,Basic Population Figures of India/State/District/Sub-District/Village - 2011,"Office of the Registrar General & Census Commissioner, India","Ministry of Home Affairs, Government of India",https://www.censusindia.gov.in/nada/index.php/catalog/42559,2011,"state,district,subdistrict,village",Government/Census source; verify reuse terms for raw redistribution,official catalog,census_basic_2011,reference_and_derived_only_until_verified
OGD_PCA_JH_2011,"Village/Town-wise Primary Census Abstract, 2011 - Jharkhand","Open Government Data Platform India / Registrar General and Census Commissioner, India","Ministry of Home Affairs, Government of India",https://www.data.gov.in/catalog/villagetown-wise-primary-census-abstract-2011-jharkhand,2011,"village,town,district",Released under NDSAP per catalog,official OGD catalog,ogd_pca_jh_2011,verify_resource_terms_before_raw_redistribution
CENSUS_DCHB_RANCHI_2011,"Census of India 2011 - Jharkhand - District Census Handbook, Ranchi, Part XII A","Directorate of Census Operations, Jharkhand","Office of the Registrar General & Census Commissioner, India",https://www.censusindia.gov.in/nada/index.php/catalog/570,2011/2014 publication,"district,village,town",Official Census source; verify reuse terms,official catalog,dchb_ranchi_2011,reference_and_derived_only_until_verified
