state_code,state_name,district_code,district_name,sub_district_code,sub_district_name,village_code,village_name,cd_block_code,cd_block_name,gram_panchayat_code,gram_panchayat_name,reference_year,closed_drainage_status_a_1_na_2,open_drainage_status_a_1_na_2,no_drainage_status_a_1_na_2,open_pucca_drainage_covered_with_tiles_slabs_status_a_1_na_2,open_pucca_drainage_uncovered_status_a_1_na_2,open_kuccha_drainage_status_a_1_na_2,whether_drain_water_is_discharged_directly_into_water_bodies_or_to_sewar_plant_for_water_bodies_1_sewar_plants_2,is_the_area_covered_under_total_sanitation_campaign_tsc_status_a_1_na_2,community_toilet_complex_including_bath_for_general_public_status_a_1_na_2,community_toilet_complex_excluding_bath_for_general_public_status_a_1_na_2,no_system_garbage_on_road_street_status_a_1_na_2,source_sheet,source_code_column,source_id,source_sha256,source_file
20,JHARKHAND,346,Garhwa ,02496,Bhawnathpur,347177,Dagar,0002,Bhawnathpur,,HARIHARPUR,2011,2,1,1,2,2,1,2,2,2,2,2,Village_Data_2000,village_code,CENSUS_DCHB_JH_2011,6d4f5101a7375ce3cb282b78815d86a880098fe1a9c13d17832f429a475aa803,DH_2011_DCHB_Village_Release_2000.xlsx
20,JHARKHAND,346,Garhwa ,02496,Bhawnathpur,347178,Srinagar,0002,Bhawnathpur,0020,HARIHARPUR,2011,2,1,2,2,2,1,2,2,2,2,2,Village_Data_2000,village_code,CENSUS_DCHB_JH_2011,6d4f5101a7375ce3cb282b78815d86a880098fe1a9c13d17832f429a475aa803,DH_2011_DCHB_Village_Release_2000.xlsx
20,JHARKHAND,346,Garhwa ,02496,Bhawnathpur,347179,Daridah,0002,Bhawnathpur,0027,DUMARSOLA,2011,2,1,2,2,2,1,2,2,2,2,2,Village_Data_2000,village_code,CENSUS_DCHB_JH_2011,6d4f5101a7375ce3cb282b78815d86a880098fe1a9c13d17832f429a475aa803,DH_2011_DCHB_Village_Release_2000.xlsx
20,JHARKHAND,346,Garhwa ,02496,Bhawnathpur,347180,Dumarsola,0002,Bhawnathpur,,DUMARSOLA,2011,2,1,2,2,1,1,2,2,2,2,1,Village_Data_2000,village_code,CENSUS_DCHB_JH_2011,6d4f5101a7375ce3cb282b78815d86a880098fe1a9c13d17832f429a475aa803,DH_2011_DCHB_Village_Release_2000.xlsx
20,JHARKHAND,346,Garhwa ,02497,Ketar*,347182,Checharia,0003,Ketar*,,BALIGARH,2011,2,2,1,2,2,2,2,2,2,2,2,Village_Data_2000,village_code,CENSUS_DCHB_JH_2011,6d4f5101a7375ce3cb282b78815d86a880098fe1a9c13d17832f429a475aa803,DH_2011_DCHB_Village_Release_2000.xlsx
20,JHARKHAND,346,Garhwa ,02497,Ketar*,347183,Khonhar,0003,Ketar*,,BALIGARH,2011,2,1,2,2,1,1,1,2,2,2,2,Village_Data_2000,village_code,CENSUS_DCHB_JH_2011,6d4f5101a7375ce3cb282b78815d86a880098fe1a9c13d17832f429a475aa803,DH_2011_DCHB_Village_Release_2000.xlsx
20,JHARKHAND,346,Garhwa ,02497,Ketar*,347184,Chhata Kund,0003,Ketar*,,PARTI KUSHWANI,2011,2,1,2,2,2,1,2,2,2,2,2,Village_Data_2000,village_code,CENSUS_DCHB_JH_2011,6d4f5101a7375ce3cb282b78815d86a880098fe1a9c13d17832f429a475aa803,DH_2011_DCHB_Village_Release_2000.xlsx
20,JHARKHAND,346,Garhwa ,02497,Ketar*,347185,Parti Kuswani,0003,Ketar*,,PARTI KUSHWANI,2011,2,1,2,2,2,1,2,2,2,2,2,Village_Data_2000,village_code,CENSUS_DCHB_JH_2011,6d4f5101a7375ce3cb282b78815d86a880098fe1a9c13d17832f429a475aa803,DH_2011_DCHB_Village_Release_2000.xlsx
20,JHARKHAND,346,Garhwa ,02497,Ketar*,347186,Munmun,0003,Ketar*,,PACHADUMAR,2011,2,1,2,2,2,1,2,2,2,2,1,Village_Data_2000,village_code,CENSUS_DCHB_JH_2011,6d4f5101a7375ce3cb282b78815d86a880098fe1a9c13d17832f429a475aa803,DH_2011_DCHB_Village_Release_2000.xlsx
20,JHARKHAND,346,Garhwa ,02497,Ketar*,347187,Pachadumar,0003,Ketar*,,PACHADUMAR,2011,2,2,2,2,2,2,2,2,2,2,2,Village_Data_2000,village_code,CENSUS_DCHB_JH_2011,6d4f5101a7375ce3cb282b78815d86a880098fe1a9c13d17832f429a475aa803,DH_2011_DCHB_Village_Release_2000.xlsx
